mod210,count,expected_hl,hl_ratio,range
11,13128594,13130496.543260224,0.9998551050027731,"[1e10,1e11)"
17,13127645,13130496.543260224,0.9997828305082881,"[1e10,1e11)"
29,13133540,13130496.543260224,1.000231785350215,"[1e10,1e11)"
41,13132948,13130496.543260224,1.0001866994695667,"[1e10,1e11)"
59,13135019,13130496.543260224,1.000344423893253,"[1e10,1e11)"
71,13129401,13130496.543260224,0.9999165649785889,"[1e10,1e11)"
101,13130769,13130496.543260224,1.0000207499190057,"[1e10,1e11)"
107,13134867,13130496.543260224,1.0003328477887623,"[1e10,1e11)"
137,13136845,13130496.543260224,1.0004834894643062,"[1e10,1e11)"
149,13128925,13130496.543260224,0.9998803134934733,"[1e10,1e11)"
167,13128787,13130496.543260224,0.999869803609133,"[1e10,1e11)"
179,13129986,13130496.543260224,0.9999611177491619,"[1e10,1e11)"
191,13132575,13130496.543260224,1.0001582923184151,"[1e10,1e11)"
197,13123786,13130496.543260224,0.9994889345396715,"[1e10,1e11)"
209,13129682,13130496.543260224,0.9999379655401804,"[1e10,1e11)"
