mod210,mean_hl_ratio,std,n,t_stat,p_value,significant,dist_7,dist_11,dist_13,dist_17,dist_19,dist_23,isolation,mod30_r,mod42_r,mod70_r,digit_sum
149,0.9546619886439721,0.9346186590717209,228207,-23.17349556328506,1.1566633185586302e-118,True,2,5,6,4,3,11,31,29,23,9,14
167,0.9566188732358594,0.9531645724698448,228395,-21.75080231947466,8.678768509122836e-105,True,1,2,2,3,4,6,18,17,41,27,14
179,0.9618735209643346,0.9558407561239683,228333,-19.060072405536893,6.266596519488226e-81,True,3,3,3,8,8,5,30,29,11,39,17
137,0.9624018774856111,0.9487944408361281,228086,-18.925283316245924,8.132070766960169e-80,True,3,5,6,1,4,1,20,17,11,67,11
191,0.9668569349743468,0.9518169238517774,228138,-16.631717878421902,4.468063492274292e-62,True,2,4,4,4,1,7,22,11,23,51,11
101,0.9896017857514304,0.9450760112326053,228252,-5.256520547070414,1.4693795404605687e-07,True,3,2,3,1,6,9,24,11,17,31,2
197,0.9953862890208491,0.9518752999133063,228696,-2.3179211724309177,0.020454483299022105,False,1,1,2,7,7,10,28,17,29,57,17
209,1.0098934662368138,0.9537293797243991,228003,4.9532773130296714,7.302590737140922e-07,True,1,0,1,5,0,2,9,29,41,69,11
11,1.0141142610333038,0.9526560246067388,228234,7.078011212599098,1.4665638254211294e-12,True,3,0,2,6,8,11,30,11,11,11,2
17,1.0176967901142824,0.9433183054395476,228358,8.964857742791928,3.1294057215116296e-19,True,3,5,4,0,2,6,20,17,17,17,8
107,1.0228440605733455,0.9491617433858732,228543,11.505780631116204,1.2579123584999075e-30,True,2,3,3,5,7,8,28,17,23,37,8
71,1.0275399639847802,0.9389090979069772,228377,14.017322057059527,1.2746103144855984e-44,True,1,5,6,3,5,2,22,11,29,1,8
59,1.0350927383161779,0.9510742900297526,228061,17.62087117707102,1.8946148482788565e-69,True,3,4,6,8,2,10,33,29,17,59,14
41,1.0370629778511442,0.9306950256366647,228151,19.02142958607564,1.3091788339460886e-80,True,1,3,2,7,3,5,21,11,41,41,5
29,1.0478515936331154,0.9466714542637745,228494,24.162038619508095,8.106698628046059e-129,True,1,4,3,5,9,6,28,29,29,29,11
